Player,Stats_from,Age,MPG,PPG,PER,TOPG,PFG,2017_2018 Salary
Quincy Acy,2016.0,25.0,14.847457627118644,5.203389830508475,14.7,0.4576271186440678,1.7457627118644068,1.709538
Steven Adams,2016.0,22.0,25.175,7.95,15.5,1.05,2.7875,22.47191
Arron Afflalo,2016.0,30.0,33.394366197183096,12.80281690140845,10.9,1.1549295774647887,2.0,2.328652
Alexis Ajinca,2016.0,27.0,14.59322033898305,5.966101694915254,13.8,0.9152542372881356,2.2711864406779663,4.961798
Cole Aldrich,2016.0,27.0,13.333333333333334,5.466666666666667,21.3,1.0666666666666667,2.316666666666667,7.3
LaMarcus Aldridge,2016.0,30.0,30.554054054054053,17.986486486486488,22.4,1.337837837837838,2.0405405405405403,21.46101
Tony Allen,2016.0,34.0,25.3125,8.359375,12.9,1.21875,2.734375,2.116955
Al-Farouq Aminu,2016.0,25.0,28.548780487804876,10.231707317073171,12.7,1.4634146341463414,2.0853658536585367,7.319035
Justin Anderson,2016.0,22.0,11.763636363636364,3.7818181818181817,12.3,0.43636363636363634,0.8181818181818182,1.57944
Kyle Anderson,2016.0,22.0,15.961538461538462,4.487179487179487,12.9,0.7564102564102564,1.2435897435897436,2.151704
Ryan Anderson,2016.0,27.0,30.424242424242426,17.03030303030303,17.2,1.3636363636363635,1.6515151515151516,19.578455
Giannis Antetokounmpo,2016.0,21.0,35.2875,16.875,18.8,2.6,3.225,22.47191
Carmelo Anthony,2016.0,31.0,35.138888888888886,21.84722222222222,20.3,2.4444444444444446,2.5,26.24376
Trevor Ariza,2016.0,30.0,35.2962962962963,12.654320987654321,12.9,1.3950617283950617,2.185185185185185,7.420912
Darrell Arthur,2016.0,27.0,21.65714285714286,7.5285714285714285,12.5,0.9428571428571428,2.642857142857143,7.464912
Omer Asik,2016.0,29.0,17.323529411764707,3.9558823529411766,11.0,0.8823529411764706,1.8235294117647058,10.595505
D.J. Augustin,2016.0,28.0,19.0,7.532258064516129,13.9,1.3548387096774193,1.3709677419354838,7.25
Luke Babbitt,2016.0,26.0,17.97872340425532,6.957446808510638,11.6,0.48936170212765956,1.9148936170212767,1.974159
Leandro Barbosa,2016.0,33.0,15.867647058823529,6.367647058823529,11.7,0.7794117647058824,1.5735294117647058,0.5
J.J. Barea,2016.0,31.0,22.527027027027028,10.91891891891892,15.4,1.527027027027027,1.4864864864864864,3.9039
Harrison Barnes,2016.0,23.0,30.939393939393938,11.727272727272727,12.3,0.8636363636363636,2.0606060606060606,23.112004
Matt Barnes,2016.0,35.0,28.81578947368421,9.973684210526315,11.7,1.5921052631578947,3.0789473684210527,2.133542
Will Barton,2016.0,25.0,28.695121951219512,14.365853658536585,16.0,1.6951219512195121,1.7926829268292683,3.533333
Nicolas Batum,2016.0,27.0,34.97142857142857,14.942857142857143,15.6,2.9285714285714284,1.6285714285714286,22.434783
Jerryd Bayless,2016.0,27.0,28.942307692307693,10.403846153846153,12.4,1.4038461538461537,2.1346153846153846,9.0
Aron Baynes,2016.0,29.0,15.222222222222221,6.345679012345679,17.8,0.8271604938271605,1.8641975308641976,4.328
Kent Bazemore,2016.0,26.0,27.773333333333333,11.626666666666667,13.4,1.84,2.3466666666666667,16.910113
Bradley Beal,2016.0,22.0,31.054545454545455,17.418181818181818,15.5,2.036363636363636,2.1272727272727274,23.775506
Michael Beasley,2016.0,27.0,18.15,12.75,22.5,1.2,1.95,2.116955
Marco Belinelli,2016.0,29.0,24.58823529411765,10.235294117647058,9.4,1.1764705882352942,1.338235294117647,6.30606
Patrick Beverley,2016.0,27.0,28.746478873239436,9.859154929577464,13.0,1.2816901408450705,3.295774647887324,5.513514
Bismack Biyombo,2016.0,23.0,22.048780487804876,5.536585365853658,14.9,0.8658536585365854,2.7439024390243905,17.0
Nemanja Bjelica,2016.0,27.0,17.916666666666668,5.133333333333334,11.2,0.7833333333333333,2.566666666666667,3.949999
Tarik Black,2016.0,24.0,12.717948717948717,3.41025641025641,12.3,0.5641025641025641,2.0,3.29
Eric Bledsoe,2016.0,26.0,34.16129032258065,20.387096774193548,20.0,3.5483870967741935,2.4193548387096775,14.5
Bojan Bogdanovic,2016.0,26.0,26.772151898734176,11.227848101265822,10.7,1.4556962025316456,1.5063291139240507,10.5
Andrew Bogut,2016.0,31.0,20.728571428571428,5.357142857142857,15.9,1.1857142857142857,3.157142857142857,2.328652
Devin Booker,2016.0,19.0,27.736842105263158,13.789473684210526,11.9,2.1052631578947367,2.960526315789474,2.31936
Trevor Booker,2016.0,28.0,20.658227848101266,5.860759493670886,14.4,1.0253164556962024,2.1392405063291138,9.125
Chris Bosh,2016.0,31.0,33.54716981132076,19.056603773584907,20.2,1.471698113207547,1.9056603773584906,25.28939
Avery Bradley,2016.0,25.0,33.36842105263158,15.197368421052632,13.2,1.4342105263157894,2.1578947368421053,8.808989
Corey Brewer,2016.0,29.0,20.353658536585368,7.195121951219512,9.9,0.9512195121951219,2.048780487804878,7.579366
